Date (MDY),Time,Univ Input 1 Module 1 (Deg C),Temperature Heat Power (%),Temperature PV (Deg C),Temperature Set Point (Deg C)
01/21/2025,05:38:22 pm,11.393,37.818,11.393,15.000
01/21/2025,05:38:37 pm,10.888,45.711,10.888,15.000
01/21/2025,05:38:52 pm,11.506,42.453,11.506,15.000
01/21/2025,05:39:07 pm,12.561,34.089,12.561,15.000
01/21/2025,05:39:22 pm,12.809,33.297,12.809,15.000
01/21/2025,05:39:37 pm,12.456,38.586,12.456,15.000
01/21/2025,05:39:52 pm,12.067,44.565,12.067,15.000
01/21/2025,05:40:07 pm,11.851,49.024,11.851,15.000
01/21/2025,05:40:22 pm,11.894,50.903,11.894,15.000
01/21/2025,05:40:37 pm,12.126,50.848,12.126,15.000
01/21/2025,05:40:52 pm,12.414,50.034,12.414,15.000
01/21/2025,05:41:07 pm,12.652,49.513,12.652,15.000
01/21/2025,05:41:22 pm,12.873,48.966,12.873,15.000
01/21/2025,05:41:37 pm,13.005,49.164,13.005,15.000
01/21/2025,05:41:52 pm,13.085,49.852,13.085,15.000
01/21/2025,05:42:07 pm,13.113,50.988,13.113,15.000
01/21/2025,05:42:22 pm,13.191,51.596,13.191,15.000
01/21/2025,05:42:37 pm,13.286,51.974,13.286,15.000
01/21/2025,05:42:52 pm,13.386,52.205,13.386,15.000
01/21/2025,05:43:07 pm,13.553,51.683,13.553,15.000
01/21/2025,05:43:22 pm,13.705,51.202,13.705,15.000
01/21/2025,05:43:37 pm,13.814,51.043,13.814,15.000
01/21/2025,05:43:52 pm,13.902,51.024,13.902,15.000
01/21/2025,05:44:07 pm,13.972,51.122,13.972,15.000
01/21/2025,05:44:22 pm,14.017,51.420,14.017,15.000
01/21/2025,05:44:37 pm,14.076,51.553,14.076,15.000
01/21/2025,05:44:52 pm,14.142,51.562,14.142,15.000
01/21/2025,05:45:07 pm,14.194,51.664,14.194,15.000
01/21/2025,05:45:22 pm,14.287,51.306,14.287,15.000
01/21/2025,05:45:37 pm,14.341,51.275,14.341,15.000
01/21/2025,05:45:52 pm,14.382,51.353,14.382,15.000
01/21/2025,05:46:07 pm,14.420,51.409,14.420,15.000
01/21/2025,05:46:22 pm,14.444,51.591,14.444,15.000
01/21/2025,05:46:37 pm,14.474,51.702,14.474,15.000
01/21/2025,05:46:52 pm,14.493,51.895,14.493,15.000
01/21/2025,05:47:07 pm,14.544,51.748,14.544,15.000
01/21/2025,05:47:22 pm,14.593,51.583,14.593,15.000
01/21/2025,05:47:37 pm,14.637,51.428,14.637,15.000
01/21/2025,05:47:52 pm,14.662,51.429,14.662,15.000
01/21/2025,05:48:07 pm,14.674,51.565,14.674,15.000
01/21/2025,05:48:22 pm,14.704,51.487,14.704,15.000
01/21/2025,05:48:37 pm,14.738,51.351,14.738,15.000
01/21/2025,05:48:52 pm,14.760,51.304,14.760,15.000
01/21/2025,05:49:07 pm,14.788,51.181,14.788,15.000
01/21/2025,05:49:22 pm,14.811,51.111,14.811,15.000
01/21/2025,05:49:37 pm,14.834,51.009,14.834,15.000
01/21/2025,05:49:52 pm,14.854,50.932,14.854,15.000
01/21/2025,05:50:07 pm,14.894,50.625,14.894,15.000
01/21/2025,05:50:22 pm,14.913,50.512,14.913,15.000
01/21/2025,05:50:37 pm,14.903,50.668,14.903,15.000
01/21/2025,05:50:52 pm,14.915,50.621,14.915,15.000
01/21/2025,05:51:07 pm,14.921,50.624,14.921,15.000
01/21/2025,05:51:22 pm,14.935,50.531,14.935,15.000
01/21/2025,05:51:37 pm,14.957,50.351,14.957,15.000
01/21/2025,05:51:52 pm,14.979,50.167,14.979,15.000
01/21/2025,05:52:07 pm,14.990,50.076,14.990,15.000
01/21/2025,05:52:22 pm,15.018,49.785,15.018,15.000
01/21/2025,05:52:37 pm,15.015,49.814,15.015,15.000
01/21/2025,05:52:52 pm,15.003,49.931,15.003,15.000
01/21/2025,05:53:07 pm,15.003,49.922,15.003,15.000
01/21/2025,05:53:22 pm,15.026,49.686,15.026,15.000
01/21/2025,05:53:37 pm,15.027,49.655,15.027,15.000
01/21/2025,05:53:52 pm,15.019,49.718,15.019,15.000
01/21/2025,05:54:07 pm,15.020,49.690,15.020,15.000
01/21/2025,05:54:22 pm,15.024,49.632,15.024,15.000
01/21/2025,05:54:37 pm,15.028,49.570,15.028,15.000
01/21/2025,05:54:52 pm,15.036,49.473,15.036,15.000
01/21/2025,05:55:07 pm,15.018,49.625,15.018,15.000
01/21/2025,05:55:22 pm,15.026,49.521,15.026,15.000
01/21/2025,05:55:37 pm,15.047,49.295,15.047,15.000
01/21/2025,05:55:52 pm,15.050,49.232,15.050,15.000
01/21/2025,05:56:07 pm,15.037,49.325,15.037,15.000
01/21/2025,05:56:22 pm,15.049,49.176,15.049,15.000
01/21/2025,05:56:37 pm,15.079,48.824,15.079,15.000
01/21/2025,05:56:52 pm,15.068,0.000,15.068,10.000
01/21/2025,05:57:07 pm,14.595,0.000,14.595,10.000
01/21/2025,05:57:22 pm,12.122,0.000,12.122,10.000
01/21/2025,05:57:37 pm,8.771,19.754,8.771,10.000
01/21/2025,05:57:52 pm,6.655,42.822,6.655,10.000
01/21/2025,05:58:07 pm,6.640,45.564,6.640,10.000
01/21/2025,05:58:22 pm,7.332,40.919,7.332,10.000
01/21/2025,05:58:37 pm,8.019,35.774,8.019,10.000
01/21/2025,05:58:52 pm,8.448,32.800,8.448,10.000
01/21/2025,05:59:07 pm,8.633,32.015,8.633,10.000
01/21/2025,05:59:22 pm,8.686,32.495,8.686,10.000
01/21/2025,05:59:37 pm,8.721,33.117,8.721,10.000
01/21/2025,05:59:52 pm,8.697,34.327,8.697,10.000
01/21/2025,06:00:07 pm,8.696,35.321,8.696,10.000
01/21/2025,06:00:22 pm,8.684,36.432,8.684,10.000
